step,u1,u2,f1_residual,f2_residual,frame_z
122,0.5804,0.4837,31.6531,24.3738,0.2536
123,0.5729,0.4774,31.2788,23.9672,0.2534
124,0.5653,0.4711,30.9198,23.5455,0.2531
125,0.5578,0.4648,30.6148,23.1398,0.2528
126,0.5503,0.4585,30.2802,22.731,0.2525
127,0.5427,0.4523,29.9185,22.3281,0.2527
128,0.5352,0.446,29.5805,21.9102,0.2532
129,0.5276,0.4397,29.1498,21.4922,0.2536
130,0.5201,0.4334,28.7799,21.0766,0.2539
131,0.5126,0.4271,28.4019,20.6677,0.2543
132,0.505,0.4209,28.038,20.2534,0.2546
133,0.4975,0.4146,27.5993,19.8398,0.2554
134,0.4899,0.4083,27.2072,19.4751,0.2563
135,0.4824,0.402,26.8116,19.1416,0.2573
136,0.4749,0.3957,26.4532,18.7695,0.2582
137,0.4673,0.3894,26.0195,18.3982,0.259
138,0.4598,0.3832,25.6372,18.0018,0.2597
139,0.4523,0.3769,25.2587,17.5925,0.2602
140,0.4447,0.3706,24.8844,17.179,0.2607
141,0.4372,0.3643,24.5806,16.762,0.2611
142,0.4296,0.358,24.1119,16.3471,0.2614
143,0.4221,0.3518,23.6675,15.9429,0.2615
144,0.4146,0.3455,23.3015,15.5395,0.2616
145,0.407,0.3392,22.9596,15.1367,0.2616
146,0.3995,0.3329,22.5614,14.7481,0.2614
147,0.392,0.3266,22.1812,14.3588,0.2612
148,0.3844,0.3204,21.8312,13.9679,0.2608
149,0.3769,0.3141,21.4241,13.5864,0.2604
150,0.3693,0.3078,21.0318,13.2141,0.2598
151,0.3618,0.3015,20.6239,12.8546,0.2591
152,0.3543,0.2952,20.2033,12.495,0.2583
153,0.3467,0.2889,19.7944,12.1338,0.2575
154,0.3392,0.2827,19.3787,11.7767,0.2565
155,0.3317,0.2764,18.999,11.4292,0.2554
156,0.3241,0.2701,18.5706,11.0909,0.2543
157,0.3166,0.2638,18.1564,10.7672,0.2531
158,0.309,0.2575,17.7643,10.439,0.2519
159,0.3015,0.2513,17.3777,10.1214,0.2507
160,0.294,0.245,16.9259,9.8031,0.2495
161,0.2864,0.2387,16.4609,9.4898,0.2483
162,0.2789,0.2324,15.9951,9.1914,0.247
163,0.2714,0.2261,15.5412,8.9029,0.2457
164,0.2638,0.2198,15.1087,8.622,0.2444
165,0.2563,0.2136,14.6705,8.3349,0.2429
166,0.2487,0.2073,14.2384,8.0453,0.2414
167,0.2412,0.201,13.7902,7.7557,0.2399
168,0.2337,0.1947,13.3547,7.4641,0.2385
169,0.2261,0.1884,12.9244,7.1742,0.2371
170,0.2186,0.1822,12.5139,6.8862,0.2357
171,0.2111,0.1759,12.1194,6.5953,0.2343
172,0.2035,0.1696,11.7418,6.3164,0.2332
173,0.196,0.1633,11.3746,6.0395,0.2322
174,0.1884,0.157,11.0489,5.7569,0.2312
175,0.1809,0.1508,10.7268,5.4778,0.2301
176,0.1734,0.1445,10.4154,5.2009,0.2288
177,0.1658,0.1382,10.1388,4.9352,0.2275
178,0.1583,0.1319,9.8784,4.674,0.2262
179,0.1508,0.1256,9.6342,4.4129,0.225
180,0.1432,0.1193,9.4195,4.1537,0.2239
181,0.1357,0.1131,9.2249,3.8911,0.223
182,0.1281,0.1068,9.0404,3.6273,0.2222
183,0.1206,0.1005,8.8545,3.3629,0.2218
184,0.1131,0.0942,8.658,3.1002,0.2215
185,0.1055,0.0879,8.443,2.8453,0.2213
186,0.098,0.0817,8.2012,2.5947,0.2211
187,0.0905,0.0754,7.9201,2.3555,0.2208
188,0.0829,0.0691,7.584,2.1109,0.2204
189,0.0754,0.0628,7.1809,1.8687,0.2199
190,0.0678,0.0565,6.7066,1.6428,0.2194
191,0.0603,0.0503,6.1608,1.4141,0.2189
192,0.0528,0.044,5.5432,1.1855,0.2183
193,0.0452,0.0377,4.8578,0.967,0.218
194,0.0377,0.0314,4.1119,0.7545,0.218
195,0.0302,0.0251,3.3135,0.5607,0.2184
196,0.0226,0.0188,2.4798,0.3832,0.2189
197,0.0151,0.0126,1.6257,0.2207,0.2196
198,0.0075,0.0063,0.757,0.0704,0.2201
199,0.0,0.0,-0.116,-0.0754,0.2206
