t,x,y,z,vx,vy,l2_actual,cy_pos_y,cy_neg_y
0.0,-7.881932794851447e-09,-1.7964380675237437e-08,0.2499510819164834,-3.256707711670195e-09,-1.026172270855452e-08,0.5788000000000001,0.28939998203561934,-0.28940001796438064
0.002,3.3800779596695286e-05,-3.360012072739011e-05,0.25000157685555996,0.016904330764745068,-0.016791078173357437,0.5788,0.2893663995804752,-0.28943359982193
0.004,9.190165859075459e-05,-0.00010641594452481863,0.2500763591594687,0.02905043949702965,-0.03640791189871426,0.5788,0.2892935839539545,-0.28950641584300413
0.006,0.00015000545551952324,-0.0001792317683571901,0.2501119014636035,0.029051898464384322,-0.03640791191618573,0.5788000000000001,0.2892207676748876,-0.289579231211602
0.008,0.00020810939429882704,-0.0002520475921893378,0.2501082037676276,0.029051969389651905,-0.03640791191607385,0.5788,0.28914794918797926,-0.2896520443723579
0.01,0.00028632241515376465,-0.00032486340647573577,0.25008537743564235,0.039106510427468794,-0.03640790714319897,0.5788,0.289075127779117,-0.2897248545920685
0.012,0.00036453759667104765,-0.0003976792206907893,0.25002331110272347,0.03910759075864151,-0.03640790710752675,0.5788,0.28900230187153864,-0.2897976603129202
0.014,0.0004907744117847481,-0.0005356025024033573,0.25003514301528523,0.06311840755685026,-0.06896164085628402,0.5788,0.2888643848664506,-0.28993558987125734
0.016,0.0006170165551032181,-0.0007322138394227555,0.2500664258934969,0.06312107165923497,-0.09830566850969905,0.5788,0.2886677849353724,-0.29013221261421784
0.018000000000000002,0.0007432590146230159,-0.0009288251764290149,0.2500584687717345,0.06312122975989891,-0.09830566850312973,0.5788,0.288471157838632,-0.29032880819149
0.02,0.0008695015357170098,-0.0011405233805100185,0.2500263592600886,0.06312126054699695,-0.10584910204050176,0.5788000000000001,0.28825946627261007,-0.2905405130336301
0.022,0.00099574406463252,-0.0013623139515164242,0.24996510260099666,0.06312126445775519,-0.11089528550320281,0.5788,0.2880376795911295,-0.2907623074941624
0.024,0.0011307134856058522,-0.0016346797686269355,0.24993852170645428,0.0674847104866661,-0.13618290855525558,0.5788,0.2877653108014047,-0.29103467033865854
0.026000000000000002,0.0012725028310007181,-0.0019505146395394548,0.24992872000572855,0.07089467269743298,-0.15791743545625966,0.5787999999999999,0.2874494746395161,-0.29135050391859496
0.028,0.0014583809003165203,-0.0022676593566470643,0.2499407557763032,0.0929390346579011,-0.15857235855380464,0.5788,0.2871323286066763,-0.29166764731997047
0.03,0.0016843879936205583,-0.00258471724649577,0.24995376748359255,0.11300354665201894,-0.15852894492435268,0.5788,0.2868152677897908,-0.29198470228278234
